data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,208798369,213712759,16,
2024,208798334,213712726,18,
2024,208798377,213712766,1,
2024,208798408,213712804,1,
2024,208798356,213712745,1,
2024,208798321,213712712,14,
2024,208798322,213712712,14,
2024,208798378,213712767,18,
2024,208798500,213712898,18,
2024,208798422,213712820,3,
2024,210436276,215339789,1,
2024,210436098,215339613,16,
2024,210436178,215339691,16,
2024,210436064,215339579,16,
2024,210436225,215339737,16,
2024,210436267,215339777,15,
2024,210436097,215339612,16,
2024,210436363,215339873,16,
2024,210436363,215339874,1,
2024,210436363,215339875,25,
2024,210436364,215339873,1,
2024,210436364,215339874,25,
2024,210436364,215339875,1,
2024,210436365,215339873,25,
2024,210436365,215339874,1,
2024,210436365,215339875,16,
2024,210436410,215339916,17,
2024,210436116,215339631,16,
2024,210436198,215339711,1,
2024,210436244,215339755,16,
2024,210436244,215339756,16,
2024,210436201,215339715,17,
2024,210436257,215339768,16,
2024,210436303,215339815,1,
2024,210436432,215339935,16,
2024,210436432,215339936,24,
2024,210436280,215339788,5,
2024,210436280,215339793,25,
2024,210436281,215339788,25,
2024,210436281,215339793,17,
2024,210436327,215339838,1,
2024,210436308,215339821,18,
2024,210436413,215339919,14,
2024,210436467,215339971,16,
2024,210436398,215339904,25,
2024,210436398,215339905,1,
2024,210436399,215339904,1,
2024,210436399,215339905,25,
2024,210436448,215339950,1,
2024,210436501,215340003,16,
2024,210436554,215340053,16,
2024,210436693,215340192,25,
2024,210436693,215340193,3,
2024,210436694,215340192,3,
2024,210436694,215340193,25,
2024,210436533,215340034,18,
2024,210436533,215340035,18,
2024,210436659,215340158,1,
2024,210436708,215340209,1,
2024,210436747,215340245,3,
2024,210436789,215340284,1,
2024,210436643,215340142,16,
2024,210436643,215340143,16,
2024,210436728,215340227,25,
2024,210436728,215340228,1,
2024,210436729,215340227,1,
2024,210436729,215340228,25,
2024,210436794,215340289,5,
2024,210436794,215340290,5,
2024,210436642,215340141,1,
2024,210436702,215340202,16,
2024,210436702,215340203,16,
2024,210436675,215340174,24,
2024,210436675,215340175,24,
2024,210436675,215340176,24,
2024,210436676,215340174,24,
2024,210436676,215340175,24,
2024,210436676,215340176,24,
2024,210436720,215340220,16,
2024,210436754,215340252,17,
2024,210436689,215340188,16,
2024,210436718,215340219,18,
2024,210436719,215340219,1,
2024,210436722,215340222,24,
2024,210436761,215340257,3,
2024,210436807,215340304,24,
2024,210436808,215340304,24,
2024,210436714,215340215,3,
2024,210436692,215340191,16,
2024,210436772,215340268,24,
2024,210436866,215340364,16,
2024,210436859,215340356,18,
2024,210436896,215340394,24,
2024,210436888,215340385,20,
2024,210436968,215340465,1,
2024,210436997,215340492,18,
2024,210436984,215340481,24,
2024,210437021,215340517,18,
2024,210437021,215340518,18,
2024,210436921,215340418,1,
2024,210436965,215340462,22,
2024,210437008,215340503,3,
2024,210436969,215340466,3,
2024,210437011,215340506,16,
2024,210437140,215340639,3,
2024,210437140,215340640,25,
2024,210437140,215340641,1,
2024,210437141,215340639,1,
2024,210437141,215340640,1,
2024,210437141,215340641,25,
2024,210437142,215340639,25,
2024,210437142,215340640,3,
2024,210437142,215340641,1,
2024,210437151,215340650,16,
2024,210437114,215340613,19,
2024,210437229,215340726,16,
2024,210437229,215340727,16,
2024,210437229,215340728,16,
2024,210437229,215340729,16,
2024,210437251,215340752,18,
2024,210437251,215340753,18,
2024,210437251,215340754,18,
2024,210437251,215340755,18,
2024,210437251,215340756,18,
2024,210437299,215340807,3,
2024,210437111,215340607,1,
2024,210437133,215340631,16,
2024,210437133,215340632,16,
2024,210437169,215340669,5,
2024,210437243,215340744,14,
2024,210437154,215340653,18,
2024,210437154,215340654,25,
2024,210437155,215340653,25,
2024,210437155,215340654,18,
2024,210437198,215340696,18,
2024,210437283,215340789,1,
2024,217935429,222795440,20,
2024,217935430,222795440,20,
2024,217935431,222795440,20,
2024,214212537,219087850,18,
2024,214212537,219087851,18,
2024,214212544,219087850,18,
2024,214212544,219087851,18,
2024,210437276,215340782,9,
2024,210437184,215340682,24,
2024,210437290,215340796,1,
2024,210437291,215340796,1,
2024,210437317,215340824,16,
2024,210437340,215340845,1,
2024,210437387,215340894,5,
2024,210437341,215340846,25,
2024,210437341,215340847,24,
2024,210437342,215340846,24,
2024,210437342,215340847,25,
2024,210437576,215341086,18,
2024,210437339,215340844,15,
2024,210437583,215341094,24,
2024,210437583,215341095,18,
2024,210437369,215340874,8,
2024,210437577,215341087,1,
2024,210437577,215341088,1,
2024,210437578,215341087,1,
2024,210437578,215341088,1,
2024,210437413,215340919,16,
2024,210437452,215340965,3,
2024,210437466,215340981,24,
2024,210437508,215341021,1,
2024,210437735,215341253,16,
2024,210437735,215341254,16,
2024,210437502,215341016,9,
2024,210437566,215341076,16,
2024,210437599,215341111,9,
2024,210437635,215341146,3,
2024,210437531,215341043,16,
2024,210437644,215341155,17,
2024,210437683,215341196,5,
2024,210437726,215341243,5,
2024,210437630,215341141,1,
2024,210437663,215341176,3,
2024,210437722,215341240,3,
2024,210437753,215341276,1,
2024,210437751,215341274,1,
2024,210437831,215341346,1,
2024,210437656,215341169,16,
2024,210437730,215341248,17,
2024,210437766,215341286,18,
2024,210437819,215341335,18,
2024,210437744,215341266,1,
2024,217935257,222795271,16,
2024,210437829,215341345,1,
2024,210437830,215341345,5,
2024,210437871,215341392,15,
2024,210437839,215341354,1,
2024,210437875,215341397,14,
2024,210438019,215341543,16,
2024,211762602,216647211,24,
2024,211762648,216647255,1,
2024,211762648,216647256,1,
2024,210437859,215341376,25,
2024,210437859,215341377,3,
2024,210437859,215341378,1,
2024,210437860,215341376,3,
2024,210437860,215341377,25,
2024,210437860,215341378,1,
2024,210437898,215341424,3,
2024,210438123,215341646,16,
2024,210438123,215341647,16,
2024,210438123,215341648,16,
2024,210438194,215341717,17,
2024,210437974,215341498,16,
2024,210438015,215341537,1,
2024,210438054,215341579,21,
2024,210438088,215341613,9,
2024,210438150,215341675,17,
