yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
57172024,5717,2024,IN0140100,IN0140100,,N,N,,I,WASHINGTON,WASHINGTON PD,Washington,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,12674,27128,INUCR0001,Indiana State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,19,0,19,1,2,3,1.6,1.7,2013-01-01,2018-06-01,2018-06-01,2019-09-01,2019-09-01,2019-09-01,N,DAVIESS,Not Specified,Y,Y,Y
57202024,5720,2024,IN0150200,IN0150200,,N,N,,I,LAWRENCEBURG,LAWRENCEBURG PD,Lawrenceburg,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,5213,27128,INUCR0001,Indiana State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2013-01-01,2020-07-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,DEARBORN,"Cincinnati, OH-KY-IN",Y,Y,Y
57222024,5722,2024,IN0160000,IN0160000,,N,N,,I,DECATUR,DECATUR CO SO GREENSBURG,Decatur,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,14141,27128,INUCR0001,Indiana State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,18,26,44,1,9,10,1.3,3.8,2013-01-01,2023-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,N,DECATUR,Not Specified,Y,Y,Y
57232024,5723,2024,IN0160100,IN0160100,,N,N,,I,GREENSBURG,GREENSBURG PD,Greensburg,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,12374,27128,INUCR0001,Indiana State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,21,0,21,1,1,2,1.8,1.9,2013-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,DECATUR,Not Specified,Y,Y,Y
57242024,5724,2024,IN0170000,IN0170000,,N,N,,I,DEKALB,DE KALB CO SO AUBURN,DeKalb,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,19165,27128,INUCR0001,Indiana State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,51,2,53,3,4,7,2.8,3.1,2013-01-01,2019-01-01,2019-01-01,2020-08-01,2020-08-01,2020-08-01,N,DEKALB,Not Specified,Y,Y,Y
57252024,5725,2024,IN0170100,IN0170100,,N,N,,I,AUBURN,AUBURN PD,Auburn,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,14010,27128,INUCR0001,Indiana State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,27,1,28,0,2,2,1.9,2.1,2013-01-01,2019-08-01,2019-08-01,2019-11-01,2019-11-01,2019-11-01,N,DEKALB,Not Specified,Y,Y,Y
57272024,5727,2024,IN0170400,IN0170400,,N,N,,I,WATERLOO,WATERLOO PD,Waterloo,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,2172,27128,INUCR0001,Indiana State Police,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,1,0,1,2.8,2.8,2013-01-01,2021-01-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,N,DEKALB,Not Specified,Y,Y,Y
57282024,5728,2024,IN0180000,IN0180000,,N,N,,I,DELAWARE,DELAWARE CO SO MUNCIE,Delaware,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,County,35420,27128,INUCR0001,Indiana State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,44,63,107,0,16,16,1.2,3.5,2013-01-01,2020-02-01,2020-02-01,2020-05-01,2020-05-01,2020-05-01,N,DELAWARE,"Muncie, IN",Y,Y,Y
57292024,5729,2024,IN0180100,IN0180100,,N,N,,I,MUNCIE,MUNCIE PD,Muncie,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,City,65072,27128,INUCR0001,Indiana State Police,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,96,3,99,10,9,19,1.6,1.8,2013-01-01,2019-11-01,2019-11-01,2020-06-01,2020-06-01,2020-06-01,N,DELAWARE,"Muncie, IN",Y,Y,Y
57302024,5730,2024,IN0180500,IN0180500,,N,N,,I,BALL STATE UNIVERSITY,BALL STATE UNIVERSITY PD MUNCIE,Ball State University,,A,19,Indiana,IN,IN,3,East North Central,2,Midwest,Region II,University or College,0,27128,INUCR0001,Indiana State Police,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,21,2,23,4,5,9,0,0,2013-01-01,2022-01-01,2022-01-01,2022-01-01,2024-03-01,2024-03-01,N,DELAWARE,"Muncie, IN",Y,Y,Y
