data_year,victim_id,injury_id
2024,220858679,4
2024,220858680,4
2024,220858681,5
2024,209617643,4
2024,220858657,1
2024,220858687,4
2024,209617708,4
2024,209614173,5
2024,220858718,5
2024,220858719,5
2024,220858748,5
2024,220858780,5
2024,220858745,5
2024,220858727,5
2024,220858891,4
2024,220858785,5
2024,220858927,4
2024,220858976,4
2024,220858809,5
2024,220858810,5
2024,220858876,4
2024,220858884,4
2024,220858886,4
2024,220859014,5
2024,220859016,5
2024,220858923,2
2024,220859040,5
2024,220859028,4
2024,220859017,4
2024,220859124,5
2024,220859125,5
2024,220859166,4
2024,220859023,5
2024,220859129,5
2024,220859257,4
2024,220859258,4
2024,220859317,5
2024,220859204,4
2024,220859238,4
2024,220859203,4
2024,220859399,5
2024,220859400,5
2024,220859332,4
2024,220859333,5
2024,220859412,4
2024,220859313,5
2024,220859314,5
2024,220860717,5
2024,220859364,4
2024,220859452,5
2024,220859525,4
2024,220859429,5
2024,220859607,4
2024,220859573,4
2024,220859472,5
2024,220859575,5
2024,220859602,5
2024,220859673,5
2024,220859611,5
2024,220859597,5
2024,220859666,5
2024,220859719,5
2024,220859720,5
2024,220859635,5
2024,220859643,5
2024,220859846,5
2024,220859697,5
2024,220859760,4
2024,220859826,5
2024,220859847,5
2024,220859827,5
2024,220859828,5
2024,220859856,5
2024,220859857,5
2024,220859863,5
2024,220859814,5
2024,220859849,5
2024,220859949,4
2024,220859966,4
2024,220859948,5
2024,220859977,5
2024,220860017,5
2024,220859927,5
2024,220859964,5
2024,220860012,4
2024,220860014,5
2024,220860038,5
2024,220860226,4
2024,220860056,5
2024,220860174,5
2024,220860176,5
2024,220860153,5
2024,220860261,4
2024,220860240,5
2024,220860398,4
2024,220860303,4
2024,220860288,5
2024,220860320,3
2024,220860349,4
2024,220860348,5
2024,220860410,4
2024,220860441,5
2024,220860442,5
2024,220860469,5
2024,220860470,5
2024,220860428,5
2024,220860373,5
2024,220860570,4
2024,220860654,4
2024,220860693,5
2024,220860694,5
2024,220860601,4
2024,220860602,4
2024,220860712,4
2024,220860436,5
2024,220860437,5
2024,220860474,5
2024,220860500,4
2024,220860533,5
2024,220860622,4
2024,220860632,5
2024,220860706,4
2024,220860794,4
2024,220860674,5
2024,220860705,5
2024,220860829,5
2024,220860831,5
2024,220860913,4
2024,220860914,5
2024,220860885,5
2024,220860886,5
2024,220861083,5
2024,220861043,5
2024,220861142,5
2024,220861155,5
2024,220861008,4
2024,220861090,5
2024,220861139,5
2024,220861325,4
2024,220861328,5
2024,220861329,5
2024,220861376,5
2024,220861186,5
2024,220861188,5
2024,220861189,5
2024,220861190,5
2024,220861191,5
2024,220861408,5
2024,220861367,5
2024,220861406,5
2024,220861434,5
2024,220861435,4
2024,220861463,4
2024,220861526,4
2024,220861359,4
2024,220861360,4
2024,220861420,5
2024,220861515,5
2024,220861600,4
2024,220861432,5
2024,220861540,5
2024,220861577,5
2024,220861683,4
2024,220861684,4
2024,220861685,4
2024,220861632,5
2024,220861719,5
2024,220861604,5
2024,220861553,4
2024,220861554,4
2024,220861646,5
2024,220861713,5
2024,220861581,5
2024,220861727,5
2024,220861729,5
2024,220861758,4
2024,220861759,4
2024,220861751,5
2024,220861814,5
2024,220861815,5
2024,220861855,5
2024,220861856,5
2024,220861873,5
2024,220862044,5
2024,220861826,4
2024,220861916,5
2024,220861917,5
2024,220861934,5
2024,220862021,4
2024,220861858,5
2024,220861897,5
2024,220861898,5
2024,220861936,5
2024,220861988,5
2024,220862030,5
2024,220862031,5
2024,220862052,5
2024,220862123,5
2024,220862124,5
2024,220862027,5
2024,220862028,5
2024,220862057,5
2024,220862058,5
2024,220862096,5
2024,220862151,5
2024,220862152,5
2024,220862197,5
2024,220862198,5
2024,220862242,5
2024,220862231,4
2024,220862084,5
2024,220862175,5
2024,220862176,5
2024,220862562,5
2024,220862563,5
2024,220862593,5
2024,220862675,5
2024,220862676,5
2024,220862677,5
2024,220862610,4
2024,220862664,4
2024,220862708,5
2024,220862814,5
2024,220862890,5
2024,220862758,5
2024,220862844,5
2024,220862961,4
2024,220862859,5
2024,220862860,5
2024,220862996,5
2024,220862997,5
2024,220863193,5
2024,220863103,5
2024,220863141,5
2024,220863126,4
2024,220863049,5
2024,220863087,4
2024,220863215,5
2024,220863078,5
2024,220863156,4
2024,220863305,5
2024,220863167,5
2024,220863194,5
2024,220863195,5
2024,220863286,4
2024,220863330,5
2024,220863251,5
2024,220863359,5
2024,220863360,5
2024,220863418,4
2024,220863419,4
2024,220863392,4
2024,220863435,5
2024,220863436,5
2024,220863399,5
2024,220863544,5
2024,220863589,4
2024,220863590,4
2024,220863501,5
2024,220863502,5
2024,220863483,4
2024,220863483,7
2024,220863530,4
2024,220863612,4
2024,220863730,5
2024,220863731,5
