data_year,suspect_using_id,offense_id
2024,4,221409044
2024,4,221409068
2024,4,221409069
2024,3,221409095
2024,3,221409096
2024,4,221409154
2024,4,221409041
2024,4,221409074
2024,4,221409149
2024,4,221409076
2024,4,221409121
2024,4,221409152
2024,2,221409185
2024,4,221409049
2024,4,221409098
2024,4,221409131
2024,4,221409183
2024,4,221409184
2024,4,221409133
2024,3,221409168
2024,4,221409207
2024,4,221409073
2024,4,221409125
2024,4,221409163
2024,4,221409164
2024,4,221409199
2024,4,221409241
2024,4,221409316
2024,4,221409119
2024,4,221409151
2024,4,221409191
2024,4,221409295
2024,4,221409331
2024,4,221409158
2024,4,221409193
2024,4,221409255
2024,4,221409302
2024,4,221409328
2024,4,221409202
2024,4,228686011
2024,4,221409362
2024,4,221409363
2024,4,221409260
2024,4,221409350
2024,4,221409387
2024,2,221409271
2024,2,221409315
2024,4,221409250
2024,4,221409277
2024,4,221409318
2024,4,221409366
2024,4,221409367
2024,2,221409396
2024,4,221409265
2024,4,223253419
2024,4,221409359
2024,4,221409460
2024,4,221409461
2024,4,221409332
2024,4,221409365
2024,4,221409630
2024,4,221409631
2024,1,221409304
2024,4,221409338
2024,4,221409385
2024,1,221409422
2024,4,221409518
2024,1,221409327
2024,4,221409360
2024,4,221409380
2024,4,221409381
2024,4,221409382
2024,4,221409420
2024,4,221409441
2024,4,221409472
2024,4,221409504
2024,4,221409551
2024,4,221409575
2024,4,221409394
2024,4,221409426
2024,4,221409552
2024,1,221409585
2024,4,221409456
2024,4,221409482
2024,4,221409508
2024,4,221409596
2024,4,221409624
2024,4,221409450
2024,4,221409486
2024,4,223253323
2024,3,223253377
2024,4,223253262
2024,4,223253507
2024,4,223253546
2024,4,223253295
2024,4,223253487
2024,4,232414466
2024,4,223253367
2024,4,223253415
2024,4,223253407
2024,4,223253438
2024,4,223253339
2024,4,223253567
2024,4,223253600
2024,4,223253357
2024,4,223253394
2024,4,224908988
2024,4,223253486
2024,4,223253543
2024,4,223253588
2024,4,223253375
2024,4,223253597
2024,4,223253411
2024,4,223253490
2024,4,223253517
2024,4,223253564
2024,4,223253594
2024,4,223253481
2024,4,223253516
2024,4,223253560
2024,4,223253601
2024,4,223253635
2024,4,223253684
2024,4,223253655
2024,4,223253697
2024,4,232417666
2024,4,223253555
2024,4,223253785
2024,4,223253587
2024,1,223253675
2024,4,223253721
2024,4,223253596
2024,4,223253626
2024,4,223253661
2024,4,223253698
2024,4,223253738
2024,3,223253773
2024,3,223253774
2024,4,223253610
2024,4,223253645
2024,4,223253681
2024,4,223253722
2024,1,223253749
2024,4,223253781
2024,4,223253649
2024,4,223253685
2024,1,223253731
2024,3,223253775
2024,4,223253811
2024,4,223253856
2024,1,223253748
2024,4,223253793
2024,4,223253828
2024,4,223253876
2024,1,223253822
2024,4,223253853
2024,4,223253854
2024,3,223253893
2024,4,223253723
2024,4,223253755
2024,4,223253909
2024,4,223253952
2024,4,223253769
2024,4,223253824
2024,4,223253833
2024,4,223253882
2024,4,223253918
2024,4,223253959
2024,4,223253832
2024,4,223253897
2024,4,223253937
2024,4,223253972
2024,4,223253813
2024,4,223253895
2024,4,223253930
2024,4,223253974
2024,4,223253838
2024,4,223253867
2024,4,223253964
2024,4,232414583
2024,4,223254037
2024,4,223253942
2024,4,223253993
2024,4,223254028
2024,4,223254070
2024,4,223254098
2024,4,223253932
2024,4,223254077
2024,4,223254110
2024,4,223253949
2024,4,223253991
2024,4,223254128
2024,4,223253987
2024,4,223254011
2024,4,223254043
2024,4,223254071
2024,4,223254072
2024,4,223254122
2024,4,223254150
2024,4,223254024
2024,4,223254063
2024,4,223254099
2024,4,223254147
2024,4,223254174
2024,4,223254032
2024,4,223254062
2024,4,223254146
2024,4,223254175
2024,1,223254050
2024,1,223254051
2024,4,223254083
2024,4,223254213
2024,4,223254267
2024,2,223254131
2024,4,223254166
2024,4,223254200
2024,1,223254220
2024,4,223254102
2024,4,223254133
2024,4,223254168
2024,4,223254219
2024,1,223254123
2024,4,223254163
2024,4,223254203
2024,4,223254245
2024,4,223254277
2024,4,223254311
2024,3,223254188
2024,4,223254335
2024,4,223254185
2024,4,223254221
2024,4,223254263
2024,4,223254286
2024,4,223254206
2024,4,228685691
2024,2,223254282
2024,2,223254283
2024,4,223254299
2024,4,223254275
2024,4,223254294
2024,4,223254338
2024,4,223254419
2024,4,223254297
2024,4,223254339
2024,4,223254379
2024,4,223254404
2024,4,223254550
2024,4,223254551
2024,1,223254318
2024,4,223254365
2024,4,223254398
2024,4,223254429
2024,4,223254387
2024,4,223254430
2024,4,223254478
2024,4,223254512
2024,4,223254446
2024,1,223254488
2024,3,223254522
2024,4,223254344
2024,4,223254389
2024,4,223254408
2024,4,223254440
2024,4,223254475
2024,4,223254506
2024,4,223254474
2024,1,223254514
2024,4,223254552
2024,4,223254594
2024,4,223254427
2024,3,223254461
2024,1,223254493
2024,4,223254530
2024,4,224909041
2024,1,223254459
2024,3,223254459
2024,1,223254460
2024,3,223254460
2024,2,223254515
2024,4,226230331
2024,4,224909088
2024,4,223254585
2024,3,223254613
2024,1,223254651
2024,4,223254566
2024,4,223254567
2024,4,224909127
2024,4,224909233
2024,4,224909019
2024,4,224909059
2024,4,224909095
2024,4,224909137
2024,4,224909027
2024,4,224909062
2024,4,224909105
2024,2,224909142
2024,4,224909139
2024,4,224909187
2024,4,224909224
2024,4,224909260
2024,1,224909058
2024,3,224909058
2024,4,224909259
2024,4,224909317
2024,4,224909363
2024,4,224909076
2024,4,224909097
2024,1,224909158
2024,4,224909202
2024,4,232414482
2024,4,224909286
2024,4,224909386
2024,4,224909161
2024,3,224909215
2024,4,224909261
2024,4,224909385
2024,4,224909237
2024,4,224909282
2024,4,224909344
2024,4,224909265
2024,4,224909316
2024,4,224909365
2024,1,224909418
2024,4,224909334
2024,4,224909377
2024,1,234168873
2024,4,234168906
2024,4,234168907
2024,4,235341120
2024,1,234168941
2024,4,234169030
2024,3,234168933
2024,4,234168990
2024,1,234169023
2024,1,234169024
2024,4,234168896
2024,1,234168925
2024,4,234168962
2024,4,243956213
2024,4,234168877
2024,4,235341140
2024,4,234168927
2024,4,235341171
2024,4,234168995
2024,4,234169032
2024,4,234169050
2024,4,235341212
2024,3,234168922
2024,3,234168923
2024,4,234168963
2024,3,234168994
2024,4,234168980
2024,4,239864094
2024,4,234169012
2024,2,234169051
2024,2,243956248
2024,3,234168984
2024,4,234169022
2024,4,235341113
2024,4,235341146
2024,3,243956279
2024,3,243956280
2024,4,235341210
2024,2,235341240
2024,4,235341265
2024,4,235341175
2024,4,235341198
2024,4,239864058
2024,4,235341260
2024,4,235341256
2024,4,235341291
2024,4,243956321
2024,4,235341250
2024,4,235341345
2024,4,235341222
2024,4,235341262
2024,4,239863982
2024,2,239864025
2024,4,239863847
2024,4,239863932
2024,1,239863999
2024,3,239863858
2024,4,241824434
