data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,57390566,,5
2024,60583042,,51
2024,60583050,,52
2024,60583040,,5
2024,60583063,,51
2024,57389342,,52
2024,60583103,,51
2024,57389370,,51
2024,60583131,,51
2024,60583203,,51
2024,60583194,,51
2024,60583172,,51
2024,60583229,,51
2024,60583265,,51
2024,60583277,,51
2024,60583280,,52
2024,60583340,,51
2024,60583343,,51
2024,60583389,,51
2024,60583358,,51
2024,60583412,,51
2024,60583442,,51
2024,60583455,,51
2024,60583495,,51
2024,60583472,,51
2024,60583489,,51
2024,60583568,,51
2024,60583578,,51
2024,60583611,,51
2024,60583625,,51
2024,60583681,,51
2024,60583652,,51
2024,60583730,,51
2024,60583759,,51
2024,60583731,,51
2024,60583757,,51
2024,60583783,,51
2024,60583818,,51
2024,60583788,,51
2024,60583827,,51
2024,60583794,,51
2024,60583795,,51
2024,60583833,,51
2024,60583920,,51
2024,60583849,,51
2024,60583858,,51
2024,60583916,,51
2024,60583962,,5
2024,60583969,,51
2024,60583987,,51
2024,60583941,,51
2024,60583970,,51
2024,60583978,,51
2024,60584101,,51
2024,60584137,,51
2024,60584128,,51
2024,60584203,,51
2024,60584282,,51
2024,60584270,,51
2024,60584234,,51
2024,60584273,,51
2024,60584329,,51
2024,60584330,,51
2024,60584321,,51
2024,60584333,,51
2024,60584363,,51
2024,60584365,,51
2024,60584340,,51
2024,60584372,,51
2024,60584370,,51
2024,60584386,,51
2024,60584380,,51
2024,60584442,,51
2024,60584449,,53
2024,60584459,,51
2024,60584469,,51
2024,60584485,,51
2024,60584524,,51
2024,60584507,,51
2024,60584508,,51
2024,60584531,,51
2024,62407455,,51
2024,60584560,,51
2024,60584569,,51
2024,60584588,,51
2024,60584554,,51
2024,60584604,,51
2024,60584558,,51
2024,60584566,,9
2024,60584584,,51
2024,60584595,,51
2024,60584596,,51
2024,60584636,,51
2024,60584627,,51
2024,60584663,,51
2024,60584664,,51
2024,60584674,,51
2024,60584675,,51
2024,60584676,,51
2024,60584677,,51
2024,60584681,,51
2024,61385456,,51
2024,60584680,,51
2024,61385507,,51
2024,61385491,,51
2024,62407428,,51
2024,62407429,,5
2024,62407430,,51
2024,61385506,,51
2024,61385541,,51
2024,61385534,,51
2024,61385535,,51
2024,61385559,,51
2024,61385584,,51
2024,61385569,,51
2024,61385596,,51
2024,61385630,,51
2024,61385611,,51
2024,61385631,,51
2024,61385696,,51
2024,61385653,,51
2024,61385657,,51
2024,62407420,,51
2024,61385733,,51
2024,61385723,,51
2024,61385724,,51
2024,61385748,,51
2024,61385761,,51
2024,61385905,,51
2024,61385808,,51
2024,61385835,,51
2024,61385843,,51
2024,61385844,,51
2024,61385913,,51
2024,61385929,,9
2024,61385975,,51
2024,61385981,,51
2024,62407450,,52
2024,61385969,,1
2024,61385957,,51
2024,61385974,,51
2024,61385953,,51
2024,61385965,,51
2024,61385991,,51
2024,61386009,,51
2024,61386368,,51
2024,61386021,,51
2024,61386023,,51
2024,61386016,,51
2024,61386105,,51
2024,61386160,,51
2024,61386175,,51
2024,62408083,,51
2024,61386215,,51
2024,61386292,,51
2024,62407426,,51
2024,61386387,,51
2024,61386299,,51
2024,61386327,,51
2024,61386372,,51
2024,61386390,,51
2024,61386391,,51
2024,61386439,,51
2024,61386466,,51
2024,61386418,,51
2024,61386420,,51
2024,61386476,,51
2024,61386433,,51
2024,61386448,,51
2024,61386542,,51
2024,61386506,,51
2024,61386612,,51
2024,61386635,,51
2024,62407452,,5
2024,61386667,,51
2024,61386681,,51
2024,61386757,,51
2024,61386735,,51
2024,61386733,,51
2024,61386753,,51
2024,62407433,,51
2024,61386788,,51
2024,61386813,,51
2024,61386814,,51
2024,61386873,,51
2024,61386891,,51
2024,61386846,,51
2024,61386859,,51
2024,61386872,,51
2024,61386866,,51
2024,61386885,,51
2024,61386904,,51
2024,61386954,,51
2024,61386989,,53
2024,61386951,,51
2024,61386965,,51
2024,61386964,,51
2024,61386987,,51
2024,61386996,,51
2024,62407454,,51
2024,62408093,,51
2024,62407473,,51
2024,62408169,,51
2024,62407528,,51
2024,62407560,,51
2024,62407600,,51
2024,62408223,,51
2024,62407593,,51
2024,62408258,,51
2024,62408260,,51
2024,62408337,,51
2024,62407692,,13
2024,62407692,,52
2024,62407734,,52
2024,62407767,,51
2024,62407814,,51
2024,62407816,,51
2024,62407818,,51
2024,62407849,,51
2024,62407837,,51
2024,62407865,,51
2024,62407881,,51
2024,62407884,,5
2024,62407888,,51
2024,62407922,,5
2024,62408580,,51
2024,62407928,,51
2024,62407952,,51
2024,62407953,,51
2024,62407965,,51
2024,62408682,,51
2024,62408684,,51
2024,62408696,,52
2024,62408697,,5
2024,62408794,,51
2024,62408692,,51
2024,62408698,,51
2024,62408699,,51
2024,62408755,,51
2024,62408757,,51
2024,62408750,,5
2024,62408808,,51
2024,62408787,,5
2024,62408845,,51
2024,62408864,,51
2024,62408886,,52
2024,62408868,,51
2024,62408907,,51
2024,62408989,,51
2024,62409007,,51
2024,62409008,,51
2024,62408953,,51
2024,62409012,,51
2024,62409055,,51
2024,62409065,,51
2024,62409072,,51
2024,62409088,,51
2024,62409073,,51
2024,62409074,,51
2024,62409075,,52
2024,62409197,,51
2024,62409159,,51
2024,62409160,,51
2024,62409176,,51
2024,62409123,,51
2024,62409124,,51
2024,62409137,,51
2024,62409171,,51
2024,62409181,,51
2024,62409183,,51
2024,62409200,,51
