data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,5,190716471,0.246,3,18711954
2024,5,190716526,1.975,3,18711972
2024,5,195471400,10.596,3,19388538
2024,12,195471400,0.074,3,19388539
2024,5,195471418,0.035,3,19388550
2024,5,195471433,0.044,3,19388556
2024,5,195471406,0.776,3,19388542
2024,12,195471406,2.000,9,19388543
2024,5,195471468,3.739,3,19388568
2024,12,198953929,0.078,3,19884020
2024,5,198953946,0.056,3,19884027
2024,16,198953946,1.000,9,19884028
2024,5,198953877,0.035,3,19884004
2024,8,198953877,6.000,9,19884005
2024,12,198953943,0.246,3,19884026
2024,12,198953875,1.000,9,19884001
2024,12,198953875,0.182,3,19884002
2024,12,198953948,0.052,3,19884029
2024,5,198954073,0.162,3,19884074
2024,5,182496816,0.035,3,17465109
2024,5,181871294,0.035,3,17374577
2024,2,181871314,3.000,9,17374580
2024,2,181871314,0.010,3,17374581
2024,8,181871314,13.500,9,17374582
2024,5,181871328,0.197,3,17374585
2024,12,181871328,0.017,3,17374586
2024,5,181871369,1.657,3,17374592
2024,5,182496828,0.038,3,17465117
2024,5,182496880,0.388,3,17465144
2024,16,182496880,0.035,3,17465145
2024,5,182496877,0.003,3,17465142
2024,12,187070185,0.035,3,18164132
2024,12,187070173,0.063,3,18164124
2024,5,182496947,0.035,3,17465177
2024,5,182496966,0.035,3,17465182
2024,5,182496979,0.035,3,17465194
2024,12,182496948,0.035,3,17465178
2024,5,182496980,1.058,3,17465195
2024,2,182497017,0.003,3,17465208
2024,5,184073921,0.035,3,17713713
2024,5,184073930,113.511,3,17713714
2024,5,184073930,1.000,11,17713715
2024,16,184073930,339.000,9,17713716
2024,5,184073805,0.035,3,17713680
2024,5,185876809,1.000,11,17987458
2024,5,184073847,1.530,3,17713686
2024,5,184073901,15.591,3,17713707
2024,11,184073901,0.352,3,17713708
2024,5,184073907,1.283,3,17713709
2024,5,184073907,1.000,11,17713710
2024,8,184073907,5.000,9,17713711
2024,5,184073895,0.582,3,17713702
2024,5,184073895,1.000,11,17713703
2024,16,184073857,178.000,9,17713688
2024,16,185876745,1.000,9,17987438
2024,5,185876710,1.104,3,17987434
2024,5,185876710,1.000,11,17987435
2024,5,189871152,1.305,3,18590116
2024,11,189871152,1.000,9,18590117
2024,11,189871152,0.035,3,18590118
2024,11,185876836,1.375,3,17987460
2024,5,185876762,1.000,11,17987440
2024,5,185876771,1.375,3,17987444
2024,5,185876753,1.000,11,17987439
2024,12,187070205,0.165,3,18164134
2024,5,185876716,0.017,3,17987437
2024,5,185876867,0.095,3,17987463
2024,16,185876867,20.000,9,17987464
2024,5,187070246,1.000,11,18164145
2024,5,185876874,1.000,11,17987466
2024,5,185876859,1.000,11,17987462
2024,5,185877214,0.035,3,17987568
2024,5,187070128,0.550,3,18164114
2024,5,187070129,0.141,3,18164115
2024,15,187070129,6.000,9,18164116
2024,12,187070147,0.035,3,18164120
2024,12,187070131,0.052,3,18164117
2024,12,187070163,0.035,3,18164122
2024,16,187070177,3.000,9,18164127
2024,5,187070209,0.003,3,18164136
2024,5,198947891,0.097,3,19881785
2024,5,187070255,1.000,11,18164148
2024,12,187070336,0.001,3,18164173
2024,5,187070330,0.035,3,18164171
2024,12,187070474,0.042,3,18164217
2024,5,187070294,0.388,3,18164163
2024,5,189870999,0.423,3,18590075
2024,12,189870999,0.098,3,18590076
2024,8,187070379,36.000,9,18164182
2024,12,187070379,0.190,3,18164183
2024,4,189871021,1.000,11,18590085
2024,12,189871021,1.000,9,18590086
2024,12,189871021,1.000,11,18590087
2024,4,192797544,0.035,3,19015007
2024,12,192797544,3.897,3,19015008
2024,11,192797533,0.003,3,19015005
2024,5,189871029,0.987,3,18590089
2024,5,189871006,0.652,3,18590077
2024,5,189871006,1.000,11,18590078
2024,12,189871006,0.003,3,18590079
2024,5,189871030,0.476,3,18590090
2024,5,189871060,0.105,3,18590099
2024,12,192797579,0.088,3,19015017
2024,12,192797570,0.105,3,19015013
2024,2,190713758,1.000,11,18711211
2024,5,190713758,0.282,3,18711212
2024,5,190713759,1.000,11,18711214
