data_year,weapon_id,offense_id,nibrs_weapon_id
2024,38,235346455,
2024,42,235346503,
2024,41,235346463,
2024,41,235346533,
2024,38,235346620,
2024,1,235346646,
2024,42,235346499,
2024,41,235346538,
2024,42,235346580,
2024,42,235346597,
2024,42,235346626,
2024,42,235346655,
2024,41,235346681,
2024,42,235346705,
2024,42,235346816,
2024,42,235346848,
2024,21,235346678,
2024,5,235346694,
2024,38,235346830,
2024,31,238214962,
2024,21,235346701,
2024,42,238214985,
2024,41,238214867,
2024,42,238214955,
2024,42,238214961,
2024,42,238214983,
2024,42,238214930,
2024,38,238214988,
2024,42,221408604,
2024,41,221408538,
2024,41,221408724,
2024,37,221408808,
2024,41,221408723,
2024,41,221408935,
2024,41,221408810,
2024,41,221408860,
2024,41,221408896,
2024,41,221408995,
2024,41,221408815,
2024,41,223253309,
2024,41,221408918,
2024,41,221409104,
2024,41,221409097,
2024,41,221409012,
2024,41,221409044,
2024,5,221409068,
2024,21,221409095,
2024,21,221409096,
2024,5,221409152,
2024,41,221409184,
2024,38,221409073,
2024,41,221409125,
2024,41,221409163,
2024,41,221409164,
2024,9,221409199,
2024,5,221409119,
2024,41,221409151,
2024,41,221409295,
2024,41,221409158,
2024,41,221409328,
2024,41,221409202,
2024,42,221409359,
2024,41,221409461,
2024,41,221409332,
2024,41,221409365,
2024,41,221409630,
2024,41,221409304,
2024,41,221409327,
2024,41,221409472,
2024,5,221409426,
2024,38,221409585,
2024,41,221409456,
2024,41,221409450,
2024,41,221409486,
2024,9,223253323,
2024,41,223253507,
2024,41,223253546,
2024,41,223253487,
2024,41,232414466,
2024,5,223253407,
2024,42,223253339,
2024,21,223253567,
2024,42,223253357,
2024,41,223253588,
2024,5,223253594,
2024,41,223253601,
2024,41,223253635,
2024,41,223253684,
2024,41,223253655,
2024,41,223253697,
2024,41,223253675,
2024,5,223253626,
2024,41,223253738,
2024,5,223253610,
2024,41,223253645,
2024,41,223253749,
2024,41,223253781,
2024,41,223253731,
2024,41,223253856,
2024,41,223253748,
2024,41,223253876,
2024,31,223253822,
2024,41,223253854,
2024,41,223253918,
2024,41,223253972,
2024,41,223253813,
2024,41,223253838,
2024,41,223254028,
2024,5,223254070,
2024,41,223254077,
2024,5,223254110,
2024,41,223253949,
2024,41,223253991,
2024,41,223254128,
2024,42,223254122,
2024,41,223254150,
2024,5,223254024,
2024,41,223254147,
2024,41,223254146,
2024,41,223254051,
2024,41,223254166,
2024,41,223254220,
2024,41,223254133,
2024,41,223254123,
2024,41,223254245,
2024,41,223254311,
2024,41,223254188,
2024,41,223254221,
2024,41,223254275,
2024,5,223254338,
2024,41,223254318,
2024,41,223254365,
2024,41,223254398,
2024,41,223254429,
2024,41,223254387,
2024,41,223254478,
2024,41,223254488,
2024,41,223254389,
2024,41,223254475,
2024,41,223254506,
2024,41,223254514,
2024,41,223254493,
2024,41,223254459,
2024,41,223254651,
2024,41,223254566,
2024,41,224909059,
2024,41,224909187,
2024,41,224909224,
2024,38,224909058,
2024,41,224909317,
2024,41,224909363,
2024,41,224909076,
2024,41,224909158,
2024,41,224909161,
2024,41,224909237,
2024,41,224909282,
2024,41,224909418,
2024,41,224909635,
2024,41,224909686,
2024,21,224909669,
2024,41,224909738,
2024,41,224909585,
2024,41,224909643,
2024,41,224909616,
2024,41,224909617,
2024,41,224909695,
2024,41,224909660,
2024,41,224909664,
2024,41,224909702,
2024,41,224909749,
2024,41,224909655,
2024,41,224909713,
2024,21,224909807,
2024,41,224909836,
2024,38,224909828,
2024,41,224909932,
2024,41,224909920,
2024,41,224909902,
2024,41,224909942,
2024,41,224909906,
2024,21,224910079,
2024,41,224910080,
2024,1,224910091,
2024,41,224910048,
2024,41,224910241,
2024,41,224910045,
2024,31,224910108,
2024,41,224910182,
2024,41,224910094,
2024,41,232414582,
2024,39,224910230,
2024,39,224910231,
2024,38,224910326,
2024,41,224910281,
2024,42,224910278,
2024,41,224910310,
2024,41,224910518,
2024,41,224910354,
2024,41,224910395,
2024,21,224910409,
2024,41,224910448,
2024,5,224910443,
2024,41,224910539,
2024,41,224910578,
2024,5,224910472,
2024,41,224910587,
2024,41,224910626,
2024,41,224910671,
2024,41,224910573,
2024,41,224910607,
2024,38,224910667,
2024,41,224910675,
2024,41,224910711,
2024,39,224910759,
2024,5,224910690,
2024,41,224910769,
2024,31,224910811,
2024,41,224910815,
2024,41,224910800,
2024,41,224910838,
2024,41,224911141,
2024,41,224910954,
2024,41,224910996,
2024,41,224911029,
2024,38,224911095,
2024,39,224910929,
2024,41,224911123,
2024,41,224911005,
2024,41,224911098,
2024,41,224911226,
2024,41,224911263,
2024,21,224911137,
2024,41,224911283,
2024,21,224911193,
2024,41,224911203,
2024,41,226230264,
2024,41,226230251,
2024,41,226230282,
2024,41,226230358,
2024,41,226230385,
2024,39,226230290,
2024,41,226230410,
2024,41,226230439,
2024,5,226230515,
2024,41,226230476,
2024,41,226230569,
