fips,county_name,mental_unhealthy_days,physical_unhealthy_days,pct_uninsured,primary_care_rate,mental_health_provider_rate,mental_health_provider_ratio,pct_alcohol_driving_deaths,injury_death_rate,life_expectancy,age_adjusted_death_rate,pct_frequent_mental_distress,pct_frequent_physical_distress,drug_overdose_rate,suicide_rate
18025,Crawford,5.7026944784,4.4391037303,10.796945836,,66.43888,1505:1,10.0,88.941033987,74.178213972,552.84210706,19.5,14.1,47.288776797,
18027,Daviess,5.3176136482,4.3385420239,19.782647426,41.91993,86.77958000000001,1152:1,12.5,65.460354447,76.491944705,417.07980326,18.6,13.3,,10.397425623
18029,Dearborn,4.8139863181,3.654267768,7.2912869121,45.261340000000004,179.90535,556:1,14.705882353,85.803525964,76.563848355,416.26478089,16.6,10.9,29.980412797,24.297537389
18031,Decatur,5.2560634867,3.6353188404,7.2719746102,60.79027,41.64143,2401:1,12.5,63.160744094,74.462800446,466.26742617,17.0,11.1,36.494972503,11.036185439
18033,DeKalb,5.5877187745,3.7440456123,8.4494894694,46.1542,64.02781,1562:1,18.181818182,70.194883162,75.930070596,429.06455454,17.4,11.4,22.225969129,12.829539833
18035,Delaware,5.7683240593,4.1197599539,8.3782145438,114.4175,324.91006999999996,308:1,9.756097561,116.08384731,73.148563357,577.82600593,17.9,12.8,56.855005008,17.188726397
18037,Dubois,5.0247017769,3.5967694141,8.1330606216,75.77671000000001,137.51375,727:1,17.647058824,67.305445197,78.085957207,340.5298204,16.5,10.9,11.643521933,17.459790752
18039,Elkhart,5.3631912511,3.9191973593,13.253726873,48.810900000000004,169.65537,589:1,20.610687023,63.785478852,77.025730271,405.4305109,17.3,12.2,14.852532115,12.345347116
18041,Fayette,5.6846941116,4.4374065545,8.4164859002,42.80822,102.78813,973:1,8.3333333333,150.50601159,71.781003603,617.34348457,19.0,13.5,87.954552009,19.606732139
18043,Floyd,5.1335354962,3.6553525103,7.5381722452,55.93258,159.82357,626:1,33.333333333,91.912700757,75.003363846,468.95249388,16.6,10.8,47.496553347,13.75419003
18045,Fountain,5.4340087281,4.0248571748,7.872031763,24.350160000000002,90.50319999999999,1105:1,10.0,91.30752374,73.739572174,538.67016556,17.9,12.1,32.46489733,17.507959993
18047,Franklin,5.0796024798,3.5871820831,7.9276924752,70.04641,30.397779999999997,3290:1,21.052631579,98.490977523,76.23065632,435.76331741,16.9,11.1,35.107736868,21.333745187
18049,Fulton,5.1138803556,3.919544548,10.611967081,49.053270000000005,83.63261,1196:1,13.636363636,87.536929642,74.357188501,543.84942087,17.6,12.1,36.437112856,17.448998148
18051,Gibson,5.5492872275,3.8101634754,7.1460573477,39.48487,39.402300000000004,2538:1,17.647058824,84.808523854,76.862423525,394.98129683,17.4,11.5,9.9593657876,19.334795745
18053,Grant,5.8713811586,4.1917416707,8.2456818505,42.25586,295.35609,339:1,12.727272727,119.50837772,71.911292969,619.90214414,18.6,12.8,48.667474412,20.349261769
18055,Greene,5.4912843728,4.0353360016,9.4993686097,29.23407,70.95401,1409:1,22.222222222,87.369731102,74.709622144,481.88447231,18.1,12.4,18.965135759,16.364786137
18057,Hamilton,4.222720591,2.5190698913,5.0990143891,138.79153,184.69751000000002,541:1,20.930232558,45.66582306,80.998849805,227.79434979,12.9,7.5,12.705758693,11.470102145
18059,Hancock,4.4317889634,3.4376495625,6.6260808188,83.14076,113.15758,884:1,24.489795918,70.10433777,77.863455268,357.05196745,15.4,9.9,25.05114609,13.640870246
18061,Harrison,5.2870337648,3.8715173662,7.7281191806,47.785520000000005,40.14956,2491:1,2.1739130435,96.418595867,74.767600893,492.4017344,17.5,11.6,40.509929066,18.442370005
18063,Hendricks,4.8108414109,3.0570225932,5.8699901922,48.50715,129.83882,770:1,14.754098361,66.423698851,78.766107049,298.61042257,14.3,9.0,24.286837108,14.010209959
